,issuer_name,plan_sponsor_name,plan_name,SPONS_DFE_EIN,FORM_TAX_PRD,FORM_PLAN_YEAR_BEGIN_DATE,PLAN_EFF_DATE,SPONS_DFE_MAIL_US_ADDRESS1,SPONS_DFE_MAIL_US_ADDRESS2,SPONS_DFE_MAIL_US_CITY,SPONS_DFE_MAIL_US_STATE,SPONS_DFE_MAIL_US_ZIP,SPONS_DFE_PHONE_NUM,BUSINESS_CODE,ADMIN_SIGNED_DATE,ADMIN_SIGNED_NAME
51,Cigna Health Life Insurance Company,"Golden Aluminum, Inc.",OAP,760589072,2025-12-31,2025-01-01,2023-01-01,1405 14TH STREET,,FORT LUPTON,CO,80621.0,3036548337.0,331310.0,2026-03-31T09:58:07-0500,LISA VAUGHN
52,Cigna Health Life Insurance Company,Hero DVO,OAP,472855247,2025-12-31,2025-01-01,2015-01-01,"2221 E. BIJOU STREET, STE. 100",,COLORADO SPRINGS,CO,80909.0,7193232354.0,621210.0,2026-04-22T09:10:29-0500,ALISSA POPE
53,Cigna Health Life Insurance Company,"The family Center Of Harrisonville, Inc.",OAP,431065600,2025-06-30,2025-01-01,1995-07-01,2601 CANTRELL RD,,HARRISONVILLE,MO,64701.0,8163807282.0,444130.0,,
54,Cigna Health Life Insurance Company,Vacation Rental Pros Property Management LLC,OAP,205070889,2025-12-31,2025-01-01,2021-01-01,4600 TOUCHTON ROAD E,"BLDG 200, SUITE 220",JACKSONVILLE,FL,32246.0,9042031320.0,531310.0,2026-04-22T13:04:41-0500,KATE ELLIOTT
55,Cigna Health Life Insurance Company,The University of New Mexico Foundation,OAP,850275408,2025-12-31,2025-01-01,2022-01-01,700 LOMAS BLVD NE,TWO WOODWARD CENTER,ALBUQUERQUE,NM,87102.0,,611000.0,,
56,Cigna Health Life Insurance Company,"Cherry Creek Insurance Agency, Inc.DBA CCIG",OAP,841040215,2025-12-31,2025-01-01,2022-01-01,155 INVERNESS DRIVE WEST,,ENGLEWOOD,CO,80112.0,3037990110.0,524210.0,,
57,Cigna Health Life Insurance Company,"Gridpoint, Inc.",OAP,200402422,2025-12-31,2025-01-01,2009-01-01,11911 FREEDOM DRIVE,SUITE 850,RESTON,VA,20190.0,7036677061.0,221100.0,,
58,Cigna Health Life Insurance Company,"CyberMaxx, LLC",OAP,263952990,2025-12-31,2025-01-01,2025-01-01,901 ELKRIDGE LANDING RD.,SUITE 400,LINTHICUM HEIGHTS,MD,21090.0,8772474379.0,541513.0,2026-04-22T09:45:37-0500,CHRISTINE KARAPTIAN
59,Cigna Health Life Insurance Company,"Filevine, Inc.",PPO,821960713,2025-12-31,2025-01-01,2017-02-01,1260 STRINGHAM AVENUE,SUITE 600,SALT LAKE CITY,UT,84106.0,8016575228.0,511210.0,,
60,Cigna Health Life Insurance Company,"Kellogg Supply Company, Inc.",OAP,560481994,2025-04-30,2025-01-01,2007-01-01,P.O. BOX 99,917 BURNSIDE ROAD,MANTEO,NC,27954.0,2524732167.0,423300.0,2026-02-12T13:26:40-0600,DEBBY CURTIS
61,Cigna Health Life Insurance Company,IMAGINE360 ADMINISTRATORS LLC,PPO,364243029,2025-12-31,2025-01-01,2020-01-01,3035 NORTH SHADELAND AVENUE,SUITE 300,INDIANAPOLIS,IN,46226.0,3175435980.0,332300.0,,
62,Cigna Health Life Insurance Company,Battery Outfitters Inc.,OAP,431411668,2025-12-31,2025-01-01,2024-01-01,35687 HWY 86,PO BOX 215,GOLDEN,MO,65658.0,4172294150.0,453990.0,2026-02-12T15:38:46-0600,DUANE DURHAM
63,Cigna Health Life Insurance Company,Mile Hi Corporate Services LLC,Local Plus,273748143,2025-12-31,2025-01-01,2002-05-01,4770 EAST 51ST AVENUE,,DENVER,CO,80216.0,3033996066.0,424400.0,2026-04-15T12:58:20-0500,JASON KLEINSCHMIDT
64,Cigna Health Life Insurance Company,Pools on the Gulf Holdings,OAP,861386906,2025-12-31,2025-01-01,2024-01-01,2301 DAWES ROAD,,MOBILE,AL,36695.0,2516337946.0,711210.0,,
65,Cigna Health Life Insurance Company,Vernier Science Education,Local Plus,934154597,2025-12-31,2025-01-01,2015-01-01,13979 SW MILLIKAN WAY,,BEAVERTON,OR,970052886.0,5032772299.0,334500.0,,
66,Cigna Health Life Insurance Company,"Peak Dental Services, LLC",Local Plus,263216754,2022-03-31,2021-04-01,2017-04-01,6110 BARNES ROAD,,COLORADO SPRINGS,CO,80922.0,3033178997.0,541600.0,,
67,Cigna Health Life Insurance Company,"Peak Dental Services, LLC",Local Plus,263216754,2022-03-31,2021-04-01,2021-04-01,6110 BARNES ROAD,,COLORADO SPRINGS,CO,80922.0,3033178997.0,541600.0,,
68,Cigna Health Life Insurance Company,"Peak Dental Services, LLC",Local Plus,263216754,2022-03-31,2021-04-01,2021-04-01,6110 BARNES ROAD,,COLORADO SPRINGS,CO,80922.0,3033178997.0,541600.0,,
69,Cigna Health Life Insurance Company,"Peak Dental Services, LLC",Local Plus,263216754,2022-12-31,2022-04-01,2017-04-01,6110 BARNES ROAD,,COLORADO SPRINGS,CO,80922.0,3033178997.0,541600.0,,
70,Cigna Health Life Insurance Company,"Peak Dental Services, LLC",Local Plus,263216754,2022-12-31,2022-04-01,2021-04-01,6110 BARNES ROAD,,COLORADO SPRINGS,CO,80922.0,3033178997.0,541600.0,,
71,Cigna Health Life Insurance Company,"Peak Dental Services, LLC",Local Plus,263216754,2023-03-31,2022-04-01,2021-04-01,6110 BARNES ROAD,,COLORADO SPRINGS,CO,80922.0,3033178997.0,541600.0,,
72,Cigna Health Life Insurance Company,"Burns Pest Elimination, Inc.",Local Plus,860469064,2025-12-31,2025-01-01,1997-09-01,2620 W GROVERS AVE,,PHOENIX,AZ,850531965.0,6029714782.0,561710.0,,
73,Cigna Health Life Insurance Company,Arapahoe Basin Ski Area,OAP,470888711,2025-06-27,2025-01-01,1998-01-01,PO BOX 5808,,DILLON,CO,804355808.0,8882727246.0,713900.0,2026-04-02T13:19:49-0500,MARGARET MURRAY
74,Cigna Health Life Insurance Company,DITTMAR COMPANY,OAP,541190404,2025-12-31,2025-01-01,1986-01-01,8321 OLD COURTHOUSE ROAD,SUITE 300,VIENNA,VA,22182.0,7033566900.0,531310.0,,
75,Cigna Health Life Insurance Company,Food Bank of the Rockies,OAP,840772672,2025-12-31,2025-01-01,2017-01-01,10700 EAST 45TH AVENUE,,DENVER,CO,80239.0,3033719250.0,624200.0,,
76,Cigna Health Life Insurance Company,Young Americans Christian School Inc,OAP,581801008,2025-12-31,2025-01-01,1999-08-17,1701 HONEY CREEK RD SE,,CONYERS,GA,300132919.0,7707607902.0,611000.0,2026-01-06T13:18:46-0600,ANGELA HAYNES
77,Cigna Health Life Insurance Company,"The Shopping Center Group, LLC",OAP,593708465,2025-12-31,2025-01-01,1988-04-01,300 GALLERIA PARKWAY,12TH FLOOR,ATLANTA,GA,30339.0,7709552434.0,531390.0,,
78,Cigna Health Life Insurance Company,X-Bow Launch Systems Inc.,OAP,813619363,2025-12-31,2025-07-01,2021-07-01,6200 UPTOWN BOULEVARD NE,SUITE 200,ALBUQUERQUE,NM,87110.0,2106052295.0,541330.0,,
79,Cigna Health Life Insurance Company,"Altro USA, Inc.",OAP,942993379,2025-12-31,2025-01-01,1992-10-01,80 INDUSTRIAL WAY,,WILMINGTON,MA,1887.0,9786576464.0,423990.0,2026-03-09T12:04:09-0500,GARY ANDERSON
80,Cigna Health Life Insurance Company,"Coastal Transportation, Inc.",OAP,911243302,2025-12-31,2025-01-01,2016-01-01,4025 13TH AVENUE WEST,,SEATTLE,WA,98119.0,2062829979.0,483000.0,,
81,Cigna Health Life Insurance Company,"RUG DOCTOR, LLC",OAP,261257115,2025-12-31,2025-01-01,1981-02-01,"600 DATA DRIVE, SUITE 150",,PLANO,TX,75075.0,9726731400.0,333200.0,,
82,Cigna Health Life Insurance Company,FDH-MSO,OAP,272161005,2025-12-31,2025-01-01,2016-01-01,400 MEMORIAL DRIVE,EXTENSION SUITE 400,GREER,SC,29651.0,8642682008.0,551114.0,2026-03-30T09:43:16-0500,JENNIE PIPOLY
83,Cigna Health Life Insurance Company,"CERTUS PEST, INC.",OAP,834381920,2025-09-30,2025-08-01,2019-08-01,4630 WOODLAND CORPORATE BOULEVARD,SUITE 209,TAMPA,FL,33614.0,4078153603.0,561710.0,,
84,Cigna Health Life Insurance Company,"Vertex Education, LLC",OAP,455589598,2025-12-31,2025-01-01,2011-06-11,3125 SOUTH GILBERT ROAD,,CHANDLER,AZ,85286.0,4802705438.0,611000.0,,
85,Cigna Health Life Insurance Company,"Medical Home Network, PBC",OAP,993352015,2025-12-31,2025-01-01,2023-01-01,TWO PRUDENTIAL PLAZA,"180 NORTH STETSON, SUITE 600-1",CHICAGO,IL,60601.0,3122740126.0,624100.0,,
86,Cigna Health Life Insurance Company,"JAFEC USA, Inc.",OAP,271037263,2025-12-31,2025-01-01,2009-10-01,2025 GATEWAY PLACE,SUITE 310,SAN JOSE,CA,95110.0,4084672240.0,541990.0,2026-04-16T20:02:52-0500,NOZOMU KOTAKE
87,Cigna Health Life Insurance Company,"Union Bank & Trust, Co.",OAP,710182120,2025-12-31,2025-01-01,1985-01-01,PO BOX 270,102 W MCCLOY ST,MONTICELLO,AR,716570270.0,8704606400.0,522110.0,2026-04-07T10:27:07-0500,ANGELA CASE
88,Cigna Health Life Insurance Company,"Allium US Holding, LLC",OAP,922207859,2025-12-31,2025-07-01,2023-07-01,7979 EAST TUFTS AVENUE,SUITE 300,DENVER,CO,80237.0,7207968305.0,518210.0,,
89,Cigna Health Life Insurance Company,"Pacific Mobile Structures, Inc.",OAP,911217771,2025-12-31,2025-01-01,2001-01-01,1554 BISHOP ROAD,,CHEHALIS,WA,98532.0,3603451590.0,236200.0,,
90,Cigna Health Life Insurance Company,"PLANET 13 HOLDINGS, INC.",OAP,832787199,2025-12-31,2025-01-01,2020-01-01,2548 WEST DESERT INN ROAD,SUITE 100,LAS VEGAS,NV,89109.0,7028151313.0,424210.0,,
91,Cigna Health Life Insurance Company,Torrent Photonics Holdco LLC,OAP,990394538,2025-12-31,2025-01-01,2023-06-01,8060 BRYAN DAIRY ROAD,,LARGO,FL,33777.0,7275443736.0,333200.0,,
92,Cigna Health Life Insurance Company,"Trinity Partners, LLC",OAP,562064890,2022-05-31,2021-06-01,2017-03-01,"650 SOUTH TRYON STREET, SUITE 900",,CHARLOTTE,NC,28202.0,7043728822.0,531310.0,,
93,Cigna Health Life Insurance Company,"Trinity Partners, LLC",OAP,562064890,2023-05-31,2022-06-01,2017-03-01,"650 SOUTH TRYON STREET, SUITE 900",,CHARLOTTE,NC,28202.0,7043728822.0,531310.0,,
94,Cigna Health Life Insurance Company,"Valor Global, LLC",OAP,260085059,2021-12-31,2021-01-01,2019-01-01,"14269 NORTH 87TH STREET, SUITE 203",,SCOTTSDALE,AZ,85260.0,4803069888.0,541990.0,,
96,Cigna Health Life Insurance Company,"Valor Global, LLC",OAP,260085059,2022-12-31,2022-01-01,2019-01-01,"14269 NORTH 87TH STREET, SUITE 203",,SCOTTSDALE,AZ,85260.0,4803069888.0,541990.0,,
98,Cigna Health Life Insurance Company,"CIVITAS RESOURCES, INC.",OAP,611630631,2025-12-31,2025-01-01,2012-05-01,555 17TH STREET,SUITE 3700,DENVER,CO,80202.0,3032939100.0,211120.0,,
99,Cigna Health Life Insurance Company,PGA CORPORATION,OAP,590785835,2025-12-31,2025-01-01,1990-01-01,1916 PGA PARKWAY,,FRISCO,TX,75033.0,4695100687.0,813000.0,,
100,Cigna Health Life Insurance Company,Westlake Dermatology PA,OAP,820540404,2025-12-31,2025-01-01,2015-01-01,"8825 BEE CAVES ROAD, SUITE 100",,AUSTIN,TX,78746.0,5126153154.0,621111.0,,
101,Cigna Health Life Insurance Company,Oishii,Local Plus,814827624,2025-12-31,2025-01-01,2024-01-01,101 LINDEN AVENUE E,,JERSEY CITY,NJ,7305.0,2027318267.0,111400.0,,
102,Cigna Health Life Insurance Company,Magnolia Management Group LTD,OAP,473755328,2025-12-31,2025-10-01,2022-10-01,5445 SMITH ROAD,,BROOK PARK,OH,44142.0,2163329360.0,611000.0,,
103,Cigna Health Life Insurance Company,Magnolia Management Group LTD,OAP,473755328,2025-12-31,2025-10-01,2015-10-01,5445 SMITH ROAD,,BROOK PARK,OH,44142.0,2163329360.0,611000.0,,
104,Cigna Health Life Insurance Company,Nationwide Surplus,Local Plus,208647785,2025-12-31,2025-01-01,2022-01-01,730 EAST SOUTHERN AVENUE,,MESA,AZ,85204.0,8443720002.0,423930.0,,
105,Cigna Health Life Insurance Company,Mile Hi Corporate Services LLC,OAP,273748143,2025-12-31,2025-01-01,2002-05-01,4770 EAST 51ST AVENUE,,DENVER,CO,80216.0,3033996066.0,424400.0,2026-04-15T12:58:20-0500,JASON KLEINSCHMIDT
106,Cigna Health Life Insurance Company,USTC - United States Technologies Communication,OAP,300943214,2022-12-31,2022-01-01,2020-01-01,225 RARITAN CENTER PARKWAY,,EDISON,NJ,8837.0,7329022153.0,336210.0,,
107,Cigna Health Life Insurance Company,"Publishers Circulation Fulfillment, Inc.",OAP,521318059,2025-12-31,2025-01-01,2008-01-01,11019 MCCORMICK ROAD,SUITE 401,HUNT VALLEY,MD,21031.0,4108218614.0,451212.0,,
108,Cigna Health Life Insurance Company,BLANK ROME,OAP,231311874,2025-07-01,2025-01-01,,130 N 18TH STREET,ONE LOGAN SQUARE,PHILADELPHIA,PA,191032757.0,2128855085.0,,,
109,Cigna Health Life Insurance Company,BLANK ROME,OAP,231311874,2025-07-01,2025-01-01,1993-01-01,130 N 18TH STREET,ONE LOGAN SQUARE,PHILADELPHIA,PA,191032757.0,2128855085.0,541110.0,,
110,Cigna Health Life Insurance Company,"Hughes and Smith, Inc.",OAP,540756452,2019-05-31,2018-06-01,2018-06-01,3016 WILLIAMS DRIVE,SUITE 100,FAIRFAX,VA,22031.0,7036988000.0,237100.0,,
111,Cigna Health Life Insurance Company,"Hughes and Smith, Inc.",OAP,540756452,2020-05-31,2019-06-01,2018-06-01,3016 WILLIAMS DRIVE,SUITE 100,FAIRFAX,VA,22031.0,7036988000.0,237100.0,,
112,Cigna Health Life Insurance Company,"Hughes and Smith, Inc.",OAP,540756452,2021-05-31,2020-06-01,2018-06-01,3016 WILLIAMS DRIVE,SUITE 100,FAIRFAX,VA,22031.0,7036988000.0,237100.0,,
113,Cigna Health Life Insurance Company,"Hughes and Smith, Inc.",OAP,540756452,2022-05-31,2021-06-01,2018-06-01,3016 WILLIAMS DRIVE,SUITE 100,FAIRFAX,VA,22031.0,7036988000.0,237100.0,,
114,Cigna Health Life Insurance Company,"Hughes and Smith, Inc.",OAP,540756452,2023-05-31,2022-06-01,2018-06-01,3016 WILLIAMS DRIVE,SUITE 100,FAIRFAX,VA,22031.0,7036988000.0,237100.0,,
115,Cigna Health Life Insurance Company,Rabun Gap-Nacoochee School,OAP,580593430,2025-12-31,2025-01-01,1987-07-01,339 NACOOCHEE DRIVE,,RABUN GAP,GA,30568.0,7067467767.0,611000.0,,
116,Cigna Health Life Insurance Company,1000Bulbs.com,OAP,752770316,2025-09-11,2025-01-01,2018-06-01,2140 MERRITT DR.,,GARLAND,TX,75041.0,9727645910.0,335100.0,2026-02-23T11:42:42-0600,CYNTHIA QUICK
117,Cigna Health Life Insurance Company,"American Glass Professionals, LLC",OAP,853536192,2025-11-30,2025-10-01,2021-10-01,9260 BAY PLAZA BLVD,SUITE 504,TAMPA,FL,33619.0,6562038789.0,811120.0,,
118,Cigna Health Life Insurance Company,"OneCause, Inc.",OAP,453159797,2025-12-31,2025-01-01,2020-01-01,211 WEST MAIN STREET,SUITE 400,CARMEL,IN,46032.0,8887290399.0,518210.0,,
119,Cigna Health Life Insurance Company,"Golden Aluminum, Inc.",Local Plus,760589072,2025-12-31,2025-01-01,2023-01-01,1405 14TH STREET,,FORT LUPTON,CO,80621.0,3036548337.0,331310.0,2026-03-31T09:58:07-0500,LISA VAUGHN
120,Cigna Health Life Insurance Company,"PROUD MOMENTS MSO, LLC",OAP,470986503,2025-12-31,2025-01-01,2021-01-01,77 WATER ST,SUITE 1602,NEW YORK,NY,100054432.0,7182155311.0,621112.0,,
121,Cigna Health Life Insurance Company,SOUTH COLLEGE OF TENNESSEE LLC,Local Plus,461287748,2025-12-31,2025-01-01,2014-01-01,3904 LONAS DRIVE,,KNOXVILLE,TN,37909.0,8652934550.0,611000.0,,
122,Cigna Health Life Insurance Company,"W.T. BYLER CO., INC.",OAP,800331414,2025-05-16,2025-01-01,2001-09-15,15203 LILLJA ROAD,,HOUSTON,TX,770605215.0,2814452070.0,237990.0,2026-02-26T16:26:55-0600,STEVEN S SMITH
123,Cigna Health Life Insurance Company,"SurfaceCycle, Inc.",OAP,463476228,2025-12-31,2025-01-01,2021-01-01,9035 WADSWORTH PARKWAY,SUITE 2275,WESTMINSTER,CO,80021.0,7203129061.0,237310.0,,
124,Cigna Health Life Insurance Company,Notarize Inc. (d/b/a Proof.com),OAP,473768464,2022-12-31,2022-10-01,2022-10-01,"867 BOYLSTON ST, 5TH FLOOR #1656",,BOSTON,MA,2116.0,8573424051.0,541990.0,2026-02-11T01:38:02-0600,RENEE HUNTER
125,Cigna Health Life Insurance Company,"CLEARENT, LLC",OAP,202775680,2025-12-31,2025-01-01,2021-01-01,950 EAST PACES FERRY ROAD NE,,ATLANTA,GA,30326.0,3144805445.0,511210.0,,
126,Cigna Health Life Insurance Company,"CenCore, LLC",PPO,274422594,2025-12-31,2025-01-01,2024-01-01,59 W 900 N,,SPRINGVILLE,UT,84663.0,3854488356.0,541990.0,,
127,Cigna Health Life Insurance Company,PLANNED PARENTHOOD OF GREATER NEW YORK,OAP,132621497,2021-12-31,2021-01-01,2020-01-01,26 BLEECKER ST,,NEW YORK,NY,100122413.0,2122747395.0,531410.0,2026-01-22T12:19:22-0600,KELLEY KRUTZ
128,Cigna Health Life Insurance Company,"Spoonful of Comfort, LLC",PPO,611571202,2025-12-31,2025-01-01,2024-01-01,2405 WEST ORTON CIRCLE,,SALT LAKE CITY,UT,84119.0,8774047678.0,445299.0,,
129,Cigna Health Life Insurance Company,"Aquabella USA, LLC",OAP,844768948,2025-12-31,2025-01-01,2022-01-01,450 S ALPINE HIGHWAY,,ALPINE,UT,84004.0,7134923277.0,238300.0,,
130,Cigna Health Life Insurance Company,SMART INFORMATION TECHNOLOGIES INC.,OAP,223337602,2018-12-31,2018-01-01,2016-01-01,103 MORGAN LANE,SUITE 104,PLAINSBORO,NJ,8536.0,6099553025.0,541511.0,2026-02-03T11:37:31-0600,RENUKA NARAYANA
131,Cigna Health Life Insurance Company,"SUNSTATE EQUIPMENT COMPANY, LLC",Local Plus,860810251,2025-12-31,2025-01-01,2001-06-01,5552 EAST WASHINGTON STREET,,PHOENIX,AZ,85034.0,6026832310.0,333900.0,,
132,Cigna Health Life Insurance Company,OptConnect Management LLC,OAP,352432402,2025-12-31,2025-01-01,2023-01-01,"865 W 450 N, SUITE 1",,KAYSVILLE,UT,84037.0,8014445958.0,532400.0,,
133,Cigna Health Life Insurance Company,Security Bancorp of Tennessee,OAP,620308760,2025-12-31,2025-01-01,2009-01-01,120 NORTH MILL AVENUE,,DYERSBURG,TN,38025.0,7312887344.0,522110.0,2026-03-25T15:43:07-0500,JENNIFER NUNLEY
134,Cigna Health Life Insurance Company,Security Bancorp of Tennessee,OAP,620308760,2025-12-31,2025-01-01,2009-01-01,120 NORTH MILL AVENUE,,DYERSBURG,TN,38025.0,7312887344.0,522110.0,2026-03-26T12:49:02-0500,JENNIFER NUNLEY
135,Cigna Health Life Insurance Company,Legal Aid of NorthWest Texas,OAP,750856086,2025-12-31,2025-01-01,1994-07-01,"600 EAST WEATHERFORD STREET,",3RD FLOOR,FORT WORTH,TX,76102.0,8173395331.0,541110.0,,
136,Cigna Health Life Insurance Company,Legal Aid of NorthWest Texas,OAP,750856086,2025-12-31,2025-01-01,2006-02-01,"600 EAST WEATHERFORD STREET,",3RD FLOOR,FORT WORTH,TX,76102.0,8173395331.0,541110.0,,
137,Cigna Health Life Insurance Company,Legal Aid of NorthWest Texas,OAP,750856086,2025-12-31,2025-01-01,2024-01-01,"600 EAST WEATHERFORD STREET,",3RD FLOOR,FORT WORTH,TX,76102.0,8173395331.0,541110.0,,
138,Cigna Health Life Insurance Company,"Desert Ready Mix, LLC",OAP,465753072,2025-12-31,2025-01-01,2017-01-01,4011 EAST PRESIDO STREET,,MESA,AZ,85215.0,4804282280.0,327300.0,,
139,Cigna Health Life Insurance Company,"Desert Ready Mix, LLC",OAP,465753072,2025-12-31,2025-01-01,2017-01-01,4011 EAST PRESIDO STREET,,MESA,AZ,85215.0,4804282280.0,327300.0,,
140,Cigna Health Life Insurance Company,"Desert Ready Mix, LLC",OAP,465753072,2025-12-31,2025-01-01,2017-01-01,4011 EAST PRESIDO STREET,,MESA,AZ,85215.0,4804282280.0,327300.0,,
141,Cigna Health Life Insurance Company,"OnLogic, Inc.",OAP,200558657,2025-12-31,2025-01-01,2023-01-01,435 COMMUNITY DRIVE,,SOUTH BURLINGTON,VT,5403.0,8028612300.0,334110.0,2026-04-20T12:22:14-0500,LAUREN LAVALLEE
142,Cigna Health Life Insurance Company,PRISMA GRAPHIC CORPORATION,OAP,860380284,2025-12-31,2025-01-01,2016-01-01,"2937 EAST BROADWAY ROAD, SUITE 100",,PHOENIX,AZ,85040.0,6022435777.0,424990.0,,
